goto,estado
"(0, P)",1
"(0, inicio)",2
"(2, V)",3
"(2, varinicio)",4
"(3, A)",5
"(3, ES)",6
"(3, CMD)",7
"(3, COND)",8
"(3, R)",9
"(3, fim)",10
"(3, leia)",11
"(3, escreva)",12
"(3, id)",13
"(3, CAB)",14
"(3, CABR)",15
"(3, se)",16
"(3, repita)",17
"(4, LV)",18
"(4, D)",19
"(4, varfim)",20
"(4, TIPO)",21
"(4, inteiro)",22
"(4, real)",23
"(4, literal)",24
"(6, A)",25
"(6, ES)",6
"(6, CMD)",7
"(6, COND)",8
"(6, R)",9
"(6, fim)",10
"(6, leia)",11
"(6, escreva)",12
"(6, id)",13
"(6, CAB)",14
"(6, CABR)",15
"(6, se)",16
"(6, repita)",17
"(7, A)",26
"(7, ES)",6
"(7, CMD)",7
"(7, COND)",8
"(7, R)",9
"(7, fim)",10
"(7, leia)",11
"(7, escreva)",12
"(7, id)",13
"(7, CAB)",14
"(7, CABR)",15
"(7, se)",16
"(7, repita)",17
"(8, A)",27
"(8, ES)",6
"(8, CMD)",7
"(8, COND)",8
"(8, R)",9
"(8, fim)",10
"(8, leia)",11
"(8, escreva)",12
"(8, id)",13
"(8, CAB)",14
"(8, CABR)",15
"(8, se)",16
"(8, repita)",17
"(9, A)",28
"(9, ES)",6
"(9, CMD)",7
"(9, COND)",8
"(9, R)",9
"(9, fim)",10
"(9, leia)",11
"(9, escreva)",12
"(9, id)",13
"(9, CAB)",14
"(9, CABR)",15
"(9, se)",16
"(9, repita)",17
"(11, id)",29
"(12, ARG)",30
"(12, lit)",31
"(12, num)",32
"(12, id)",33
"(13, rcb)",34
"(14, CP)",35
"(14, ES)",36
"(14, CMD)",37
"(14, COND)",38
"(14, fimse)",39
"(14, leia)",11
"(14, escreva)",12
"(14, id)",13
"(14, CAB)",14
"(14, se)",16
"(15, CPR)",40
"(15, ES)",41
"(15, CMD)",42
"(15, COND)",43
"(15, fimrepita)",44
"(15, leia)",11
"(15, escreva)",12
"(15, id)",13
"(15, CAB)",14
"(15, se)",16
"(16, ab_p)",45
"(17, ab_p)",46
"(19, LV)",47
"(19, D)",19
"(19, varfim)",20
"(19, TIPO)",21
"(19, inteiro)",22
"(19, real)",23
"(19, literal)",24
"(20, pt_v)",48
"(21, L)",49
"(21, id)",50
"(29, pt_v)",51
"(30, pt_v)",52
"(34, LD)",53
"(34, OPRD)",54
"(34, id)",55
"(34, num)",56
"(36, CP)",57
"(36, ES)",36
"(36, CMD)",37
"(36, COND)",38
"(36, fimse)",39
"(36, leia)",11
"(36, escreva)",12
"(36, id)",13
"(36, CAB)",14
"(36, se)",16
"(37, CP)",58
"(37, ES)",36
"(37, CMD)",37
"(37, COND)",38
"(37, fimse)",39
"(37, leia)",11
"(37, escreva)",12
"(37, id)",13
"(37, CAB)",14
"(37, se)",16
"(38, CP)",59
"(38, ES)",36
"(38, CMD)",37
"(38, COND)",38
"(38, fimse)",39
"(38, leia)",11
"(38, escreva)",12
"(38, id)",13
"(38, CAB)",14
"(38, se)",16
"(41, CPR)",60
"(41, ES)",41
"(41, CMD)",42
"(41, COND)",43
"(41, fimrepita)",44
"(41, leia)",11
"(41, escreva)",12
"(41, id)",13
"(41, CAB)",14
"(41, se)",16
"(42, CPR)",61
"(42, ES)",41
"(42, CMD)",42
"(42, COND)",43
"(42, fimrepita)",44
"(42, leia)",11
"(42, escreva)",12
"(42, id)",13
"(42, CAB)",14
"(42, se)",16
"(43, CPR)",62
"(43, ES)",41
"(43, CMD)",42
"(43, COND)",43
"(43, fimrepita)",44
"(43, leia)",11
"(43, escreva)",12
"(43, id)",13
"(43, CAB)",14
"(43, se)",16
"(45, EXP_R)",63
"(45, OPRD)",64
"(45, id)",55
"(45, num)",56
"(46, EXP_R)",65
"(46, OPRD)",64
"(46, id)",55
"(46, num)",56
"(49, pt_v)",66
"(50, vir)",67
"(53, pt_v)",68
"(54, opm)",69
"(63, fc_p)",70
"(64, opr)",71
"(65, fc_p)",72
"(67, L)",73
"(67, id)",50
"(69, OPRD)",74
"(69, id)",55
"(69, num)",56
"(70, então)",75
"(71, OPRD)",76
"(71, id)",55
"(71, num)",56